id quake blast
1373751 0.90 0.10
1234124 1.00 0.00
895127 0.76 0.24
770591 0.99 0.01
772740 0.99 0.01
857197 0.92 0.08
791537 1.00 0.00
657651 1.00 0.00
649026 0.15 0.85
1193938 0.97 0.03
1150708 0.86 0.14
1082810 0.46 0.54
911553 0.94 0.06
768145 0.80 0.20
515788 1.00 0.00
1302941 0.99 0.01
1110778 1.00 0.00
1320104 0.68 0.32
1062622 1.00 0.00
224538 0.00 1.00
1147090 1.00 0.00
550835 0.95 0.05
495599 1.00 0.00
893745 1.00 0.00
214804 0.08 0.92
858496 0.98 0.02
148824 0.00 1.00
1502834 0.41 0.59
547609 1.00 0.00
1046929 0.99 0.01
491589 0.94 0.06
1070466 1.00 0.00
751195 0.94 0.06
572018 1.00 0.00
968546 1.00 0.00
912560 0.17 0.83
684616 0.99 0.01
644652 0.98 0.02
339987 1.00 0.00
506678 0.52 0.48
111023 0.01 0.99
1287278 0.98 0.02
461968 0.99 0.01
1091240 1.00 0.00
644022 0.99 0.01
1035046 0.67 0.33
101427 0.00 1.00
34205 0.00 1.00
1298052 0.16 0.84
15470 0.02 0.98
767014 0.58 0.42
697207 1.00 0.00
533652 0.64 0.36
1280769 0.38 0.62
1405235 1.00 0.00
1361932 1.00 0.00
483497 0.81 0.19
314669 0.91 0.09
417861 0.28 0.72
842788 1.00 0.00
1467936 1.00 0.00
1237132 0.67 0.33
1181775 1.00 0.00
1281538 0.98 0.02
401959 1.00 0.00
537362 0.38 0.62
481746 0.97 0.03
1186574 0.92 0.08
395262 1.00 0.00
1466651 0.99 0.01
1469563 0.99 0.01
86564 0.00 1.00
80598 0.52 0.48
1140683 1.00 0.00
1519273 0.99 0.01
398059 1.00 0.00
1142675 0.85 0.15
1439090 0.99 0.01
943069 0.28 0.72
1515715 1.00 0.00
598447 1.00 0.00
949709 0.58 0.42
1505496 0.59 0.41
609335 1.00 0.00
349568 0.68 0.32
591496 0.82 0.18
491614 1.00 0.00
544535 1.00 0.00
1026495 1.00 0.00
1129408 0.99 0.01
886451 1.00 0.00
1213326 1.00 0.00
351226 1.00 0.00
1207175 0.84 0.16
1178724 1.00 0.00
1141897 1.00 0.00
840429 0.79 0.21
1293987 1.00 0.00
108815 0.00 1.00
344067 1.00 0.00
87877 0.10 0.90
10273 0.01 0.99
19510 0.00 1.00
549128 0.75 0.25
748063 0.93 0.07
1396901 0.96 0.04
737286 1.00 0.00
370385 0.99 0.01
909428 1.00 0.00
1545315 0.91 0.09
1519051 0.98 0.02
947500 0.95 0.05
1013130 1.00 0.00
44165 0.05 0.95
774207 1.00 0.00
1343244 0.97 0.03
961325 0.52 0.48
1080707 1.00 0.00
859211 0.97 0.03
1543874 0.98 0.02
521039 0.51 0.49
772789 1.00 0.00
658843 1.00 0.00
1221542 0.99 0.01
1509811 0.99 0.01
1150264 1.00 0.00
130850 0.02 0.98
1032369 1.00 0.00
412643 0.40 0.60
1094354 0.96 0.04
1352564 1.00 0.00
83923 0.03 0.97
1264689 0.98 0.02
889542 1.00 0.00
408480 1.00 0.00
1218401 1.00 0.00
937347 0.66 0.34
782672 1.00 0.00
145054 0.68 0.32
1519268 0.96 0.04
1030010 1.00 0.00
120361 0.00 1.00
1097220 1.00 0.00
644887 1.00 0.00
405025 0.66 0.34
1241778 1.00 0.00
361005 1.00 0.00
1233322 1.00 0.00
1515737 0.99 0.01
1149199 1.00 0.00
1029169 1.00 0.00
112149 0.01 0.99
814633 0.88 0.12
522848 0.54 0.46
382201 1.00 0.00
407517 0.78 0.22
599868 0.97 0.03
1542404 1.00 0.00
1061217 1.00 0.00
543822 0.96 0.04
982830 1.00 0.00
1431339 0.99 0.01
866327 1.00 0.00
953364 0.60 0.40
1462259 1.00 0.00
1196902 0.47 0.53
499000 0.86 0.14
381751 1.00 0.00
1397885 0.94 0.06
86566 0.01 0.99
1423346 1.00 0.00
673238 0.84 0.16
453449 1.00 0.00
157567 0.87 0.13
1271206 0.87 0.13
1375381 0.98 0.02
676230 0.97 0.03
30515 0.00 1.00
1323340 1.00 0.00
38316 0.19 0.81
697732 0.78 0.22
893071 1.00 0.00
720951 1.00 0.00
1260989 0.96 0.04
742278 1.00 0.00
1499815 0.56 0.44
859217 1.00 0.00
915252 0.65 0.35
1035055 1.00 0.00
11228 0.00 1.00
120824 0.69 0.31
855920 1.00 0.00
173865 0.79 0.21
1450067 0.99 0.01
1357453 0.53 0.47
323692 0.08 0.92
1165680 1.00 0.00
987159 0.94 0.06
1315897 1.00 0.00
1011669 1.00 0.00
23628 0.01 0.99
51554 0.00 1.00
1238132 1.00 0.00
1352562 0.99 0.01
668016 1.00 0.00
1284276 1.00 0.00
6123 0.00 1.00
758523 0.99 0.01
1418572 1.00 0.00
337614 0.99 0.01
102369 0.73 0.27
457035 1.00 0.00
421621 0.70 0.30
1479380 1.00 0.00
894541 0.51 0.49
461970 1.00 0.00
35054 0.02 0.98
41138 0.90 0.10
1520132 0.99 0.01
1094339 0.87 0.13
1398617 0.99 0.01
1543544 0.94 0.06
894138 1.00 0.00
1085455 0.89 0.11
107879 0.26 0.74
467721 1.00 0.00
740123 1.00 0.00
711059 0.97 0.03
13455 0.24 0.76
1295224 1.00 0.00
1303388 0.98 0.02
1244048 0.98 0.02
1366497 0.87 0.13
103136 0.66 0.34
1357420 1.00 0.00
1142930 0.80 0.20
1178968 1.00 0.00
1450826 1.00 0.00
1183080 0.17 0.83
996647 0.61 0.39
1243539 1.00 0.00
1324533 0.95 0.05
1087008 0.39 0.61
1493020 1.00 0.00
1036991 1.00 0.00
426908 1.00 0.00
678740 1.00 0.00
1377039 1.00 0.00
172827 0.02 0.98
546402 1.00 0.00
62697 0.23 0.77
1047755 0.93 0.07
443952 0.96 0.04
46315 0.00 1.00
1118070 1.00 0.00
725679 0.96 0.04
1078565 1.00 0.00
391670 1.00 0.00
987164 0.95 0.05
451436 0.95 0.05
1359238 1.00 0.00
1181863 0.52 0.48
1105681 0.95 0.05
625005 1.00 0.00
1224826 0.82 0.18
1170018 1.00 0.00
1066568 0.93 0.07
1225576 0.97 0.03
61463 0.01 0.99
574389 1.00 0.00
736135 1.00 0.00
1439867 0.93 0.07
654201 0.45 0.55
503227 1.00 0.00
1272133 0.99 0.01
1116065 0.80 0.20
523585 0.99 0.01
1143348 1.00 0.00
471930 0.82 0.18
115941 0.32 0.68
866073 0.96 0.04
1462532 1.00 0.00
1465907 1.00 0.00
80609 0.09 0.91
829269 1.00 0.00
58101 0.98 0.02
819043 1.00 0.00
322602 1.00 0.00
776575 1.00 0.00
1172298 0.85 0.15
1319673 0.56 0.44
871494 1.00 0.00
711276 1.00 0.00
734861 0.94 0.06
1507673 0.91 0.09
1386945 1.00 0.00
1475051 1.00 0.00
746155 0.57 0.43
402457 1.00 0.00
690908 1.00 0.00
541533 1.00 0.00
858829 0.87 0.13
91634 0.31 0.69
934041 0.99 0.01
871483 1.00 0.00
338027 1.00 0.00
1350840 1.00 0.00
552694 1.00 0.00
1090180 0.91 0.09
1423317 1.00 0.00
1493808 0.99 0.01
1439864 1.00 0.00
1141894 1.00 0.00
1501753 0.98 0.02
726249 1.00 0.00
1045129 1.00 0.00
85140 0.00 1.00
330401 0.39 0.61
1035678 0.96 0.04
1538234 1.00 0.00
1294092 0.99 0.01
1244914 1.00 0.00
1233795 0.59 0.41
45914 0.58 0.42
830686 1.00 0.00
